"X","Y"
0.28,1.2766144856917
0.44,1.57263905824521
0.88,1.55105047748024
1.06,1.72784685947549
1.32,1.79946427838527
2.29,1.99902871771221
2.69,1.81607896256262
2.82,1.95772448322218
3.86,2.29628418887157
4.1,2.04078501484013
4.27,2.29698896593928
4.59,2.07359001275885
4.74,2.55514842268466
4.81,2.64029581071377
6.84,2.47795003458662
7.03,2.58084057360658
7.07,2.29845960587432
7.08,2.57195705498743
7.17,2.39082686023353
7.41,2.64992569857515
7.47,2.35794498779875
7.57,2.52307169951709
8.4,1.99329260818811
8.57,2.76872599961982
9.11,2.39906038732826
9.15,2.56054675687677
9.25,2.05435084928052
9.46,2.39711451102829
9.73,2.82162045346319
9.87,2.74975077531102
